ID  Time1                 Time2
89  RUSTicos    5  x  0   REACTivos 
88  PYthons     2  x  3   SemCTRL   
87  REACTivos   5  x  4   JAVAlis   
86  LOOPardos   4  x  4   ESCorpiões
85  RUSTicos    3  x  4   SeQueLas  
84  SemCTRL     4  x  2   RUSTicos  
83  SemCTRL     3  x  2   ESCorpiões
82  SeQueLas    5  x  1   SemCTRL   
81  SemCTRL     2  x  1   GOrilas   
80  LOOPardos   1  x  4   NETunos   
79  LOOPardos   4  x  3   PYthons   
78  JAVAlis     5  x  0   ESCorpiões
77  RUSTicos    3  x  4   PYthons   
76  PYthons     2  x  1   NETunos   
75  NETunos     2  x  1   REACTivos 
74  JAVAlis     2  x  1   GOrilas   
73  ESCorpiões  5  x  4   NETunos   
72  SeQueLas    1  x  4   ESCorpiões
71  PYthons     5  x  2   GOrilas   
70  GOrilas     2  x  5   PYthons   
69  JAVAlis     4  x  3   RUSTicos  
68  LOOPardos   3  x  0   RUSTicos  
67  ESCorpiões  1  x  4   SemCTRL   
66  RUSTicos    0  x  5   LOOPardos 
65  RUSTicos    0  x  3   GOrilas   
64  JAVAlis     0  x  0   REACTivos 
63  ESCorpiões  3  x  4   RUSTicos  
62  REACTivos   0  x  5   SeQueLas  
61  PYthons     5  x  2   LOOPardos 
60  LOOPardos   2  x  1   SeQueLas  
59  GOrilas     1  x  2   REACTivos 
58  LOOPardos   4  x  3   GOrilas   
57  LOOPardos   1  x  5   JAVAlis   
56  GOrilas     5  x  0   LOOPardos 
55  NETunos     3  x  2   ESCorpiões
54  REACTivos   4  x  1   LOOPardos 
53  GOrilas     3  x  4   JAVAlis   
52  ESCorpiões  5  x  5   SeQueLas  
51  GOrilas     0  x  5   RUSTicos  
50  SeQueLas    1  x  3   GOrilas   
49  RUSTicos    1  x  5   JAVAlis   
48  PYthons     5  x  0   REACTivos 
47  ESCorpiões  4  x  1   PYthons   
46  SeQueLas    4  x  5   JAVAlis   
45  REACTivos   2  x  0   SemCTRL   
44  REACTivos   2  x  3   GOrilas   
43  NETunos     3  x  1   RUSTicos  
42  REACTivos   1  x  3   PYthons   
41  SemCTRL     3  x  0   NETunos   
40  GOrilas     0  x  3   ESCorpiões
39  NETunos     0  x  1   SemCTRL   
38  PYthons     1  x  2   SeQueLas  
37  REACTivos   4  x  0   RUSTicos  
36  ESCorpiões  3  x  1   LOOPardos 
35  RUSTicos    1  x  5   ESCorpiões
34  JAVAlis     5  x  0   SeQueLas  
33  SemCTRL     1  x  2   PYthons   
32  JAVAlis     0  x  5   SemCTRL   
31  NETunos     5  x  3   SeQueLas  
30  SemCTRL     1  x  5   JAVAlis   
29  PYthons     0  x  3   ESCorpiões
28  RUSTicos    2  x  4   NETunos   
27  RUSTicos    3  x  4   SemCTRL   
26  SemCTRL     0  x  0   SeQueLas  
25  REACTivos   5  x  2   NETunos   
24  GOrilas     4  x  1   NETunos   
23  GOrilas     0  x  4   SemCTRL   
22  SeQueLas    0  x  1   REACTivos 
21  SemCTRL     2  x  2   LOOPardos 
20  NETunos     2  x  1   PYthons   
19  SemCTRL     0  x  5   REACTivos 
18  NETunos     4  x  5   GOrilas   
17  PYthons     5  x  5   RUSTicos  
16  LOOPardos   2  x  5   SemCTRL   
15  PYthons     0  x  1   JAVAlis   
14  JAVAlis     1  x  1   PYthons   
13  NETunos     3  x  5   LOOPardos 
12  SeQueLas    3  x  2   PYthons   
11  ESCorpiões  4  x  0   GOrilas   
10  ESCorpiões  0  x  1   JAVAlis   
9   SeQueLas    5  x  5   NETunos   
8   ESCorpiões  2  x  0   REACTivos 
7   GOrilas     4  x  2   SeQueLas  
6   JAVAlis     4  x  0   LOOPardos 
5   SeQueLas    5  x  2   RUSTicos  
4   JAVAlis     5  x  5   NETunos   
3   LOOPardos   0  x  0   REACTivos 
2   NETunos     0  x  2   JAVAlis   
1   REACTivos   2  x  5   ESCorpiões
0   SeQueLas    4  x  1   LOOPardos 
